,C22008638LR01-ISM012-042-Day2-940,C22008619LR01-sham-Day2-951,C22008628LR01-Vehicle-Day2-935,C22008626LR01-Vehicle-Day2-986,C22008627LR01-Vehicle-Day2-975,C22008621LR01-sham-Day2-992,C22008624LR01-Vehicle-Day2-966,C22008640LR01-ISM012-042-Day2-976,C22008639LR01-ISM012-042-Day2-1000,C22008637LR01-ISM012-042-Day2-967,C22008620LR01-sham-Day2-981,C22008623LR01-sham-Day2-995,C22008618LR01-sham-Day2-942,C22008641LR01-ISM012-042-Day2-950,C22008622LR01-sham-Day2-953,C22008625LR01-Vehicle-Day2-977,C22008629LR01-Vehicle-Day2-999,C22008636LR01-ISM012-042-Day2-963
Tmem160,25.258,29.653,19.003,31.927,24.339,17.647,26.682,18.56,21.813,32.91,28.899,25.596,21.097,20.167,29.595,20.494,21.032,21.192
Npas1,0,0,0.136,0,0.094,0,0,0.088,0.048,0.108,0,0,0,0.052,0,0,0.047,0
Arhgap35,30.908,23.075,4.959,8.519,9.633,28.06,26.829,8.738,16.789,27.38,25.047,14.26,14.72,18.452,21.429,21.4,17.675,12.661
Gm29443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam9,0.158,0.544,0.095,0,0.184,0.513,0.832,0,0.065,0.526,0.542,0,0.07,0.137,0.069,0.269,0.482,0.134
Ap2s1,207.813,194.922,173.013,156.411,188.403,142.346,220.572,147.604,155.531,270.988,220.678,145.789,155.745,163.502,184.434,226.791,193.446,178.815
Slc1a5,85.933,71.199,62.887,56.34,95.46,81.592,57.076,98.822,80.36,96.274,56.328,86.122,51.363,70.255,63.734,61.477,93.433,108.533
Fkrp,11.515,6.589,5.822,7.178,8.958,7.583,7.148,8.014,9.484,12.781,5.206,9.028,6.948,8.702,7.673,9.769,9.206,10.669
Strn4,35.842,26.202,18.458,27.422,24.621,29.843,23.828,25.2,30.142,38.792,21.117,27.19,26.711,29.733,26.507,28.778,30.892,32.654
Prkd2,23.633,12.452,9.049,8.628,8.706,11.537,12.307,8.656,11.661,16.126,11.14,7.587,8.083,8.995,12.37,9.783,8.009,8.348
9330104G04Rik,0.303,0.222,0.092,0.239,0.178,0.21,0.198,0.147,0.124,0.259,0.259,0.229,0.368,0.296,0.099,0.096,0.166,0.226
Dact3,7.869,7.226,4.889,5.429,10.244,5.585,3.576,4.949,4.695,11.358,10.275,10.181,7.726,13.469,6.836,4.092,3.237,9.468
Gng8,1.179,0.867,0.345,0.551,0.747,0.582,1.027,0.371,0.393,2.082,1.437,1.331,1.03,1.658,1.129,1.528,0.434,0.653
Ptgir,0.98,0.585,0.941,0.846,1.679,0.668,0.808,0.884,1.038,2.602,0.661,1.329,0.676,0.84,0.781,1.516,0.823,0.908
Calm3,268.176,232.103,172.297,178.948,189.114,218.465,262.488,197.595,237.88,304.741,184.789,188.042,214.57,262.116,186.862,264.461,273.946,235.033
LOC108167409,1.483,0.536,0.662,0.397,0,1.033,0.484,0.873,0.465,0,0.424,0,0.98,0,1.183,0.477,0.494,0.487
